Date ,startup_name,industry_vertical,SubVertical,Country,City /State Location,Investors_Name,Investment_Type,Amount_in_USD,Remarks
05-04-2018,Vedantu,EdTech,Interactive Online Tutoring Platform,India,Bengaluru,"Accel Partners, Tiger Global And Others",Private Equity,"1,00,00,000",no Remark
04-04-2018,Varthana,FinTech,Loans and Services To Affordable Private Schools in India,India,Bengaluru,"ChrysCapital, Existing investors, Elevar Equity, LGT Impact, Omidyar Network and Kaizen Private Equity also participated in the round",Private Equity,"5,50,00,000",no Remark
02-04-2018,Benepik,SaaS & Enterprise Tech,Enhanced Employee Engagement Platform,India,Gurugram,"Vishal Bali, Yogesh Misra, Thomas Assessments and others",Seed Funding,,no Remark
02-04-2018,Finzy,Consumer Internet,Online Loan Matchmaking Platform,India,Bengaluru,Undisclosed,Seed Funding,"13,00,000",no Remark
02-04-2018,Fitternity,Consumer Internet,Online Fitness Discovey Platform,India,Mumbai,"Exfinity Venture, Saha fund Partners, Arihant Patni of Patni Family Office, Anjali Bansal, Shardul Amarchand Mangaldas, Satish Khanna and Taparia family office.",Private Equity,"20,00,000",no Remark
02-04-2018,Synctag,SaaS & Enterprise Tech,Social Media Anlaytics Platform,India,Coimbatore,Subhkam Ventures and Mohit Khadaria,Seed Funding,"3,07,600",no Remark
29-03-2018,Fynd,Consumer Internet,O2O fashion ecommerce platform,India,Mumbai,"Google, Kae Capital, IIFL, Singularity Ventures, GrowX, Tracxn Labs, Venture Catalyst, Patni family office and Axis Capital.",Seed Funding,,no Remark
28-03-2018,Roadcast,SaaS & Enterprise Tech,Fleet management and asset monitoring platform,India,New Delhi,Undisclosed,Private Equity,"2,50,000",no Remark
28-03-2018,Smartcoin,FinTech,Micro lending company,India,Bengaluru,"Accion Venture Lab, Unicorn India Ventures and ISME ACE.",Seed Funding,"20,00,000",no Remark
27-03-2018,DriveU,SaaS & Enterprise Tech,Professional Car Drivers Hiring App,India,Bengaluru,Amit Singhal and Unitus Seed Fund,Private Equity,"30,00,000",no Remark
27-03-2018,The Print,Media & Entertainment,News portal,India,New Delhi,Ratan Tata,Seed Funding,"5,35,000",no Remark
26-03-2018,Cash Suvidha,Consumer Internet,Online loan platform,India,New Delhi,"Initia Holdings,Vipin Agarwal and others.",Seed Funding,"10,00,000",no Remark
22-03-2018,Chargebee,SaaS & Enterprise Tech,Subscription Billing & Recurring Payments Software,India,Chennai,"Insight Venture Partners, Accel Partners and Tiger Global Management.",Private Equity,"1,80,00,000",no Remark
22-03-2018,i2i Funding,Consumer Internet,Online loan platform,India,Noida,SucSEED Venture Partners,Seed Funding,"7,68,000",no Remark
22-03-2018,Slang Labs,SaaS & Enterprise Tech,Voice-based assistant platform,India,Bengaluru,Endiya Partners,Seed Funding,"12,40,000",no Remark
22-03-2018,UrbanPiper,SaaS & Enterprise Tech,Online ordering solution for restaurants and food chains,India,Bengaluru,"Kumar Vembu, Axilor Ventures",Seed Funding,,no Remark
21-03-2018,GigIndia,Consumer Internet,Micro Jobs Provider For Students,India,Pune,"Jessica Wong, Hiro Mashita, Xue Manzi and Yiyun Zhang.",Seed Funding,,no Remark
20-03-2018,One Labs,Consumer Internet,Consumer Technology and Artificial Intelligence Based Aggregator App,Unknown,Unknown,Micromax Informatics Ltd,Private Equity,,no Remark
19-03-2018,CustomerSucessBox,SaaS & Enterprise Tech,Customer Success Software for B2B SaaS,India,Gurugram,"Pi Ventures, Axilor Ventures",Seed Funding,"10,00,000",no Remark
19-03-2018,Fingerlix,Consumer Internet,Ready To cook Food Solution,India,Mumbai,Alteria Capital,Debt Funding,"13,10,000",no Remark
19-03-2018,Karma Healthcare,HealthTech,Technology enabled equitable healthcare for India,India,Udaipur,"1Crowd, Ankur Capital",Seed Funding,"5,00,000",no Remark
19-03-2018,Zappfresh,FoodTech,Online Raw Meat E-tailer,India,Gurugram,"Amit Burman, SIDBI Venture Capital",Seed Funding,"30,00,000",no Remark
15-03-2018,Grofers,Consumer Internet,Online Grocery Shop,India,Gurugram,"SoftBank, Tiger Global and Apoletto Managers.",Private Equity,"6,20,00,000",no Remark
14-03-2018,AvailFinance,Consumer Internet,Online Lending Platform,India,Bengaluru,"Matrix Partners, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Kunal Shah and Manish Patel.",Private Equity,"1,72,00,000",no Remark
14-03-2018,Stumagz,Consumer Internet,Online Communication and Collaboration Platform For Educational Institutions,India,Hyderabad,"Venkat Subramanian, Sudhakar Pennam, and other tech investors from Silicon Valley",Seed Funding,,no Remark
13-03-2018,PineLabs,SaaS & Enterprise Tech,Digital Payment Platform,India,Mumbai,"Actis, Altimeter Capital",Private Equity,"8,20,00,000",no Remark
12-03-2018,HealthCare,Consumer Internet,Healthcare Aggregator,India,Mumbai,HR Fund,Seed Funding,"10,00,000",no Remark
08-03-2018,Magicpin,Consumer Internet,Hyperlocal Discovery,India,Gurugram,Trifecta Capital,Debt Funding,"10,00,000",no Remark
08-03-2018,Pepperfry,Consumer Internet,Online Furniture Shopping Store,India,Mumbai,State Street Global Advisors,Private Equity,"3,84,00,000",no Remark
06-03-2018,Ad2pro,SaaS & Enterprise Tech,"Creative Design, Brand, Media and Technology Platform Solutions",India,Chennai,Avendus Finance Pvt. Ltd,Debt Funding,"97,00,000",no Remark
06-03-2018,Coverfox,Consumer Internet,Online Insurance Aggregator,India,Mumbai,Aegon NV,Private Equity,"76,00,000",no Remark
05-03-2018,Finova Capital,Consumer Internet,Online Lending,India,Jaipur,Sequoia Capital,Private Equity,"60,00,000",no Remark
05-03-2018,Hotelogix,SaaS & Enterprise Tech,Cloud based Online Hotel Management Software,India,Noida,"Vertex Ventures, Accel Partners and Saama Capital",Private Equity,"50,00,000",no Remark
05-03-2018,MedGenome,HealthTech,"Genetic Screening, DNA Diagnostics Labs & Research Centers",India,Bengaluru,"HDFC Life, HDFC Asset Management",Private Equity,"1,00,00,000",no Remark
05-03-2018,Wellthy,HealthTech,Therapeutics,India,Mumbai,"Ranjan Pai, Apoorva Patni, Beenext Ventures,GrowX Ventures",Private Equity,"21,00,000",no Remark
04-03-2018,Gramophone,SaaS & Enterprise Tech,Agri-tech,India,Indore,InfoEdge,Seed Funding,"10,00,000",no Remark
04-03-2018,Livehealth,Consumer Internet,Health Service Aggregator Platform,India,Pune,Nexus Venture Partners,Seed Funding,"11,00,000",no Remark
03-03-2018,Kuvera,Consumer Internet,Online Financial Planning,India,Bengaluru,"Baskar Subramanian, Saket Kumar, Gaurav Suri and Ankit Kesarwani",Seed Funding,"2,50,000",no Remark
01-03-2018,Buddy4studdy,Consumer Internet,Online Scholarship Portal,India,Noida,CBA Capital and others,Private Equity,"30,00,000",no Remark
01-03-2018,PharmEasy,Consumer Internet,Online Pharmacy Store,India,Mumbai,"Bessemer Venture Partners and Orios Venture Partners, JM Financials and MEMG",Private Equity,,no Remark
01-03-2018,Urban Ladder,E-Commerce,Online Furniture Store,India,Bengaluru,"Sequoia Capital, SAIF Partners and Kalaari capital",Private Equity,"1,20,00,000",no Remark
28-02-2018,Credy,SaaS & Enterprise Tech,SaaS,India,Bengaluru,"Y Combinator, Khosla Ventures, Vy Capital and others",Seed Funding,"14,00,000",no Remark
28-02-2018,Gaana,SaaS & Enterprise Tech,Online Music Streaming,India,Gurugram,"Tencent Holdings Ltd, Times Internet",Private Equity,"11,50,00,000",no Remark
28-02-2018,Predible Health,HealthTech,Cancer radiology,India,Bengaluru,Unitus Seed Fund,Seed Funding,,no Remark
27-02-2018,Lollypop,SaaS & Enterprise Tech,Digital Design,India,Bengaluru,Dr Devi Shetty,Seed Funding,,no Remark
27-02-2018,Trilyo,SaaS & Enterprise Tech,AI platform for hospitality industry,India,Mumbai,"Startup Buddy,Amit Manocha and others",Seed Funding,"2,50,000",no Remark
26-02-2018,Avishkaar Box,EdTech,Education,India,New Delhi,Auxano Deals,Private Equity,"7,72,500",no Remark
26-02-2018,Planys Technologies,SaaS & Enterprise Tech,Robotic InspectionStartup,India,Chennai,"Kris Gopalakrishnan, Pratithi Investment Trust, MEMG Family Office, S Gopal",Private Equity,"10,40,000",no Remark
21-02-2018,Capillary,SaaS & Enterprise Tech,SaaS,India,Bengaluru,"Wargburg Pincus, Sequoia",Private Equity,"2,00,00,000",no Remark
21-02-2018,HighRadius,SaaS & Enterprise Tech,Cloud-based Software,India,Hyderabad,"PNC, Citi Ventures",Private Equity,,no Remark
21-02-2018,The Healthy Billions,HealthTech,Analytics,India,Gurugram,"Blume Ventures, HealthQuad and Fireside Ventures",Private Equity,"21,00,000",no Remark
21-02-2018,Udaan,E-Commerce,B2B Marketplace,India,Bengaluru,Lightspeed & Yuri Milner,Private Equity,"5,00,00,000",no Remark
20-02-2018,Agricxlab,AgriTech,Agri-tech,India,Mumbai,Ankur Capital,Seed Funding,"5,00,000",no Remark
19-02-2018,AyeFinance,FinTech,Online Lending,India,Gurugram,"Hinduja Leyland Finance, IntelleGrow",Private Equity,"38,00,000",no Remark
16-02-2018,Fincash,FinTech,Fin-Tech,India,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed Funding,"1,50,000",no Remark
16-02-2018,happay,FinTech,Expense Management,India,Bengaluru,Sequoia and Jerry Yang,Seed Funding,"2,50,000",no Remark
15-02-2018,Infibeam,E-Commerce,Online Retailing,India,Ahmedabad,Network 18,Private Equity,"62,30,000",no Remark
15-02-2018,PetSutra,Consumer Internet,Online Pet Care Products,India,Gurugram,Michael Patrick Hickey,Seed Funding,"1,48,434",no Remark
14-02-2018,Littlemore,EdTech,Online Education Platform,India,Chennai,Kalpavriksh,Private Equity,"30,00,000",no Remark
14-02-2018,MoneyOnMobile,SaaS & Enterprise Tech,mobile payment platform,India,Mumbai,S7 Group,Private Equity,"50,00,000",no Remark
14-02-2018,OyoRooms,Travel,Budget Rooms,India,Gurugram,DiDi Chuxing,Equity Based Funding,"10,00,00,000",no Remark
14-02-2018,Shirsa Labs,EdTech,Integrated Kids Engagement Company,India,Mumbai,"Dewang Neralla, Mahesh Kothurkar,Atul Agarwal",Private Equity,"5,00,000",no Remark
14-02-2018,Toppr,EdTech,Online Education Platform,India,Mumbai,Axis Capital Partners,Private Equity,"1,00,000",no Remark
13-02-2018,Awaaz De,SaaS & Enterprise Tech,Mobile Solutions for Social Impact,India,Ahmedabad,Tribe Impact Capital LLP,Seed Funding,,no Remark
13-02-2018,HolaChef,FoodTech,Online Food Delivery,India,Mumbai,Ashok Kumar Gajera,Seed Funding,"3,11,200",no Remark
13-02-2018,IMAX Program,EdTech,Individualised Progressive Learning Program,India,Bengaluru,"Michael & Susan Dell Foundation, LGT Impact Ventures",Private Equity,"1,35,00,000",no Remark
12-02-2018,Cashify,E-Commerce,Online Selling,India,Gurugram,Trifecta Capital,Debt Funding,"9,35,089",no Remark
12-02-2018,Lending Kart,FinTech,Online Lending Platform,India,Bengaluru,Fullerton Financial Holdings Pte Ltd & Others,Private Equity,"8,70,00,000",no Remark
12-02-2018,Wydr,Consumer Internet,B2B Marketplace,India,Gurugram,"Bessemer Venture Partners, Stellaris Venture Partners, Axis Capital, Singapore, Jungle Venture Partners",Private Equity,,no Remark
09-02-2018,HealthifyMe,HealthTech,Mobile Weight Loss Coach,India,Bengaluru,Sistema Asia Fund,Private Equity,"1,20,00,000",no Remark
09-02-2018,MedTel,HealthTech,Virtual health clinics,India,Bhubaneswar,British and Indian Governments,Private Equity,,no Remark
09-02-2018,Rupeek,Consumer Internet,Online Gold Loan,India,Bengaluru,"Accel Partners, Sequoia Capital",Private Equity,"68,30,000",no Remark
09-02-2018,WebEngage,SaaS & Enterprise Tech,Marketing Cloud for consumer businesses,India,Mumbai,Social Capital,Private Equity,,no Remark
08-02-2018,Icertis,Consumer Internet,Enterprise Contract Management Platform,India,Pune,Meritech Capital Partners,Private Equity,"5,00,00,000",no Remark
08-02-2018,Shape,HealthTech,"Online Portal for Diet,fitness and Beauty",India,Pune,Sandeep Mathur,Seed Funding,"10,00,00,000",no Remark
07-02-2018,Swiggy,FoodTech,Online Food Delivery,India,Bengaluru,Naspers,Private Equity,"10,00,00,000",no Remark
06-02-2018,Foodmemories,Consumer Internet,Online Food Marketplace,India,Ahmedabad,"Bhavesh Manglani, Suraj Saharan, Darshan Upadhyay, Sanjay Notani & Others",Seed Funding,,no Remark
06-02-2018,Healthi,HealthTech,Preventive Health Checkup,India,Bengaluru,Montane Ventures,Private Equity,"31,00,000",no Remark
05-02-2018,Asia Institute Of Medical Science,HealthTech,Super-specialty Hospital,India,Faridabad,CDC Group Plc,Private Equity,"2,10,00,000",no Remark
05-02-2018,CollegeDekho,Consumer Internet,Online platform for Higher Education Services,India,Gurugram,"Man Capital LLP, Girnar Software, Others",Private Equity,"20,00,000",no Remark
05-02-2018,Pratilipi,Media & Entertainment,E-Publishing,India,Bengaluru,Omidyar Network,Private Equity,"43,00,000",no Remark
01-02-2018,BigBasket,Consumer Internet,Online Grocery & Food Store,India,Bengaluru,"Alibaba, Helion Venture Partners, Bessemer Venture Partners, Ascent Capital",Private Equity,"30,00,00,000",no Remark
01-02-2018,Zomato,FoodTech,Food Ordering and Restaurant Discovery,India,Gurugram,Ant Financials,Private Equity,"20,00,00,000",no Remark
31-01-2018,iNurture,SaaS & Enterprise Tech,Education Solutions,India,Bengaluru,Ventureast,Private Equity,"44,00,000",no Remark
30-01-2018,BrowserStack,SaaS & Enterprise Tech,Browser Testing,India,Mumbai,Accel Partners,Private Equity,"5,00,00,000",no Remark
30-01-2018,CureFit,HealthTech,Fitness,India,Bengaluru,"HDFC Bank, Axis Bank",Debt Funding,"1,00,00,000",no Remark
30-01-2018,MoneyOnMobile,SaaS & Enterprise Tech,Mobile Payment Platform,India,Mumbai,Undisclosed,Private Equity,"76,00,000",no Remark
30-01-2018,PeeSafe,HealthTech,Hygiene,India,Gurugram,"Shivani Singh, Rahul Maroli, Mitesh Shah, Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures.",Private Equity,"10,00,000",no Remark
30-01-2018,Scapic,SaaS & Enterprise Tech,Virtual Reality,India,Bengaluru,"Axilor Ventures, Newfort Capital",Angel Funding,"5,00,000",no Remark
29-01-2018,eKincare,HealthTech,Technology,India,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, BVR Mohan Reddy",Private Equity,"15,00,000",no Remark
29-01-2018,The Wedding Brigade,Consumer Internet,Online Services,India,Mumbai,Blume Ventures,Private Equity,"10,00,000",no Remark
26-01-2018,Axio,HealthTech,Hemostatic Dressing Solutions,India,Bengaluru,RNT Capital,Private Equity,"74,00,000",no Remark
25-01-2018,Glassic,E-Commerce,Eyewear,India,Bengaluru,"Chennai Angels, Lead Angels, LetsVenture",Angel Funding,,no Remark
25-01-2018,GreyAtom,SaaS & Enterprise Tech,Education,India,Mumbai,Pravega Ventures,Private Equity,"10,00,000",no Remark
24-01-2018,Aye Finance,FinTech,Online Lending,India,Gurugram,IFMR Capital,Term Loan,"62,40,000",no Remark
24-01-2018,NeoGrowth Credit,FinTech,Digital Lending,India,Mumbai,"LeapFrog Investments, Aspada Investment, Quona Capital",Private Equity,"4,70,00,000",no Remark
24-01-2018,Rao IIT Academy,EdTech,Coaching Services,India,Mumbai,Avendus Finance,Structured Debt,"86,00,000",no Remark
23-01-2018,MilkBasket,E-Commerce,Online Grocery,India,Gurugram,Unilever Ventures,Private Equity,"30,00,000",no Remark
22-01-2018,AEON Learning,SaaS & Enterprise Tech,Education,India,Bengaluru,Dr. Ranjan Pai,Private Equity,"32,00,000",no Remark
22-01-2018,HungerBox,Consumer Internet,Food and Beverages,India,Bengaluru,Lionrock Capital,Private Equity,"25,00,000",no Remark
22-01-2018,OptaCredit,FinTech,Alternative Lending,India,Chennai,DMI Finance,Private Equity,"40,00,000",no Remark
22-01-2018,Paperflite,SaaS & Enterprise Tech,IT,India,Chennai,The Chennai Angels,Angel Funding,"4,00,000",no Remark
22-01-2018,Skillate,SaaS & Enterprise Tech,Artificial Intellegence,India,Bengaluru,"Incubate Fund India, Anuj Agrawal",Private Equity,,no Remark
18-01-2018,ShareChat,SaaS & Enterprise Tech,Social,India,Bengaluru,"Xiaomi Singapore, Shunwei Capital",Private Equity,"1,82,00,000",no Remark
17-01-2018,Rubix,SaaS & Enterprise Tech,Education,India,Pune,Polaris Fund,Private Equity,"10,00,000",no Remark
15-01-2018,Newgen Software,SaaS & Enterprise Tech,IT,India,New Delhi,"Goldman Sachs, hedge fund & Others",Private Equity,"2,00,00,000",no Remark
15-01-2018,Pi Ventures,FinTech,Venture Capital,India,Bengaluru,"Sunil Kant Munjal, Hero Electronix\\xe2\\x80\\x99s corporate financing arm, Electronic Development Fund",Private Equity,"2,50,00,000",no Remark
15-01-2018,Streak,SaaS & Enterprise Tech,Algorithmic Trading,India,Bengaluru,"Indian fintech fund, Rainmatter",Angel Funding,"3,54,600",no Remark
12-01-2018,Kuants,SaaS & Enterprise Tech,Algorithmic Trading,India,Gurugram,"Pankaj Chopra, Ankush Gupta",Angel Funding,"80,000",no Remark
12-01-2018,Razorpay,SaaS & Enterprise Tech,Payment Gateway,India,Bengaluru,"Tiger Global, Y Combinator",Private Equity,"2,00,00,000",no Remark
10-01-2018,Appario Retail Pvt Ltd.,E-Commerce,Retail,India,New Delhi,Amazon-Patni JV,Private Equity,"1,88,40,000",no Remark
10-01-2018,Sahajanand Medical Technologies,SaaS & Enterprise Tech,Medical Devices,India,Surat,Morgan Stanley Private Equity Asia,Private Equity,"3,62,30,000",no Remark
10-01-2018,Samunnati,FinTech,Agricultural Loan,India,Chennai,"responsAbility, Elevar Equity and Accel Partners",Private Equity,"2,35,00,000",no Remark
10-01-2018,Tapzo,SaaS & Enterprise Tech,Personal Assistant,India,Bengaluru,RuNet & Other,Private Equity,"19,30,000",no Remark
09-01-2018,Kinsane Entertainment Inc,Media & Entertainment,Digital Entertainment for Children,India,Mumbai,Undisclosed,Seed Funding,"25,00,000",no Remark
09-01-2018,Lending Kart,FinTech,Online Lending,India,Ahmedabad,Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.,Debt Funding,"47,00,000",no Remark
08-01-2018,DAAKI,E-Commerce,Sports Nutrition Supplement etailer,India,Bengaluru,Rohan Agila,Angel Funding,,no Remark
05-01-2018,WOTU,E-Commerce,Food and Beverages,India,Bengaluru,"Claris Capital, Mumbai Angels Network",Angel Funding,,no Remark
04-01-2018,EarlySalary,FinTech,Online Lending,India,Pune,Eight Roads Ventures India,Private Equity,"1,57,00,000",no Remark
02-01-2018,CleverTap,SaaS & Enterprise Tech,Mobile App Analytics,India,Mumbai,"Recruit Holdings, Sequoia Capital India, Accel Partners",Angel Funding,,no Remark
27-12-2017,Foyr.com,SaaS & Enterprise Tech,Realty Tech Startup solving real life Interior Designing problems,India,Hyderabad,Jones Lang LaSalle,Private Equity,"38,00,000",no Remark
27-12-2017,Garage On Road,E-Commerce,Online vehicle service booking platform,India,Noida,Gaurav Gupta,Private Equity,,no Remark
26-12-2017,Specsmakers,E-Commerce,Online Spects Platform for Men and Women,India,Chennai,Eight Roads Ventures India,Private Equity,"1,00,00,000",no Remark
21-12-2017,EasyEcom,E-Commerce,Ecommerce enabler platform,India,Bengaluru,"Ambarish Gupta, Aneesh Reddy, Bold Ventures, Vona Investments",Seed Funding,"1,50,000",no Remark
21-12-2017,IGP.com,E-Commerce,Online Gifting Platform,India,Uttar Pradesh,Venture Catalysts,Private Equity,,no Remark
21-12-2017,Indus OS,SaaS & Enterprise Tech,Regional Operating System for Smartphones,India,Mumbai,Omidyar Network,Private Equity,"40,00,000",no Remark
20-12-2017,Spandana Sphoorty,FinTech,Micro finance institution providing small ticket unsecured loans to women,India,Hyderabad,"Kedaraa Capital, Ontario Teachers",Private Equity,"1,95,00,000",no Remark
20-12-2017,Your Quote,SaaS & Enterprise Tech,Vernacular and Video Content Platform,India,Bengaluru,"Axilor Ventures, E-City VEntures Atul Goel",Private Equity,"10,00,000",no Remark
19-12-2017,9Stacks,SaaS & Enterprise Tech,Online Poker Platform,India,New Delhi,"Swati Gupta, Purnima Khandelwal, Maheshwar Peri, Sanjay Singh",Private Equity,"15,00,000",no Remark
19-12-2017,Peel Works,SaaS & Enterprise Tech,SaaS based Big Data Analytics Platform,India,Mumbai,Unilever Ventures,Private Equity,,no Remark
19-12-2017,Springboard,SaaS & Enterprise Tech,Online Courses and Mentoring from Experts,India,Bengaluru,"Costanoa, Learn Capital, Jyoti Bansal",Private Equity,"95,00,000",no Remark
18-12-2017,Sky Met Weather,SaaS & Enterprise Tech,Weather Forecast Platform,India,Noida,InsuResillience Investment Fund,Private Equity,,no Remark
15-12-2017,Cash Suvidha,E-Commerce,Online Micro-Lending Platform,India,New Delhi,Undisclosed,Debt Funding,"27,00,000",no Remark
15-12-2017,Purplle,E-Commerce,Beauty Products Online Marketplace,India,Mumbai,"Mountain Pain Capital, Suncoast Investments",Seed Funding,"5,37,000",no Remark
14-12-2017,Curofy,SaaS & Enterprise Tech,Mobile App for Network of Doctors,India,Gurugram,RoundGlass Partners LLC,Seed Funding,"2,50,000",no Remark
14-12-2017,HomeLane,E-Commerce,Online Furniture Marketplace,India,Bengaluru,"Accel Partners, Sequoia Capital, RB Investments",Private Equity,"1,00,00,000",no Remark
14-12-2017,Tea Box,E-Commerce,Fresh Indian Tea Selling Platform across 112 countries,India,Bengaluru,RB Investments,Private Equity,"70,00,000",no Remark
14-12-2017,Transversal Technologies,SaaS & Enterprise Tech,Hyperlocal Video Information Sharing Platform,India,Bengaluru,Matrix Partners,Private Equity,"60,00,000",no Remark
14-12-2017,WeDoSky,SaaS & Enterprise Tech,Provides Business Insights using Drone Imaginary,India,New Delhi,Mumbai Angels Network,Private Equity,,no Remark
13-12-2017,Capita World,SaaS & Enterprise Tech,Artificial Intelligence Platform to Raise Funds,India,Mumbai,"Mohan Tanksale, Kiran Shetty, Darshak Shah, Mandar Mhatre",Private Equity,,no Remark
13-12-2017,DocsApp,SaaS & Enterprise Tech,Mobile Application for Doctor Consultation,India,Bengaluru,Bessemer Venture Partners,Private Equity,"72,00,000",no Remark
13-12-2017,MindTickle,SaaS & Enterprise Tech,Gamification Platform to train Sales People,India,Pune,Canaan Partners,Private Equity,"2,70,00,000",no Remark
13-12-2017,Nazara Technologies,SaaS & Enterprise Tech,Mobile Games Development Firm,India,Mumbai,Rakesh Jhunjhunwala,Private Equity,"2,70,00,000",no Remark
12-12-2017,Fracktal Works,SaaS & Enterprise Tech,Platform based on 3D printing and Digital Manufacturing,India,Bengaluru,Hyderabad Angels,Seed Funding,,no Remark
12-12-2017,I Can Stay,SaaS & Enterprise Tech,Hotel Aggregator Platform,India,New Delhi,HT Media,Private Equity,"18,00,000",no Remark
12-12-2017,Shopholix,E-Commerce,Fashion and Lifestyle Coupon Platform,India,Gurugram,Munesh Khanna,Seed Funding,"2,33,000",no Remark
12-12-2017,Simility,SaaS & Enterprise Tech,Adaptive Fraud Intelligence Platform,India,Hyderabad,Accel Partners,Private Equity,"1,75,00,000",no Remark
11-12-2017,Furlenco,SaaS & Enterprise Tech,Furniture Rental Platform,India,Bengaluru,Aamir Khan,Debt Funding,"12,00,000",no Remark
11-12-2017,Logic Roots,SaaS & Enterprise Tech,Educational Platform to Learn Mathematics,India,Mumbai,Village Capital,Seed Funding,"50,000",no Remark
11-12-2017,Project Mudra,SaaS & Enterprise Tech,Assisting Visually Impaired to learn through Braille,India,Bengaluru,Village Capital,Seed Funding,"50,000",no Remark
11-12-2017,Vahdam Tea,E-Commerce,Online Platform Selling Indian Tea Globally,India,New Delhi,"Singapore Angel Network, Mumbai Angel",Private Equity,"15,00,000",no Remark
08-12-2017,Inshorts,SaaS & Enterprise Tech,Mobile News Curation App,India,Noida,Tiger Global,Private Equity,"50,00,000",no Remark
07-12-2017,Cygnus Hospitals,HealthTech,Super speciality Hospitals,India,Gurugram,Somerset Indus Capital Ventures,Seed Funding,"7,50,000",no Remark
07-12-2017,eShakti,E-Commerce,Women's Fashion Clothing Online Platform,India,Chennai,IDG Ventures,Debt Funding,"23,00,000",no Remark
07-12-2017,Mswipe,SaaS & Enterprise Tech,Mobile point of sale services provider,India,Mumbai,Eduardo Saverin,Private Equity,"1,00,00,000",no Remark
07-12-2017,The Label Life,E-Commerce,Home Decor and Online Fashion Portal,India,Mumbai,Kalpvriksh,Private Equity,"31,00,000",no Remark
06-12-2017,Fintobox,SaaS & Enterprise Tech,Child Learning & Development Platform,India,Chennai,Lightbox,Private Equity,"70,00,000",no Remark
06-12-2017,Greenlight Planet,SaaS & Enterprise Tech,Off-grid solar products platform,India,Mumbai,"Apis Partner, Eight Roads Ventures, Bamboo Capital Partners",Private Equity,"6,00,00,000",no Remark
05-12-2017,Dunzo,SaaS & Enterprise Tech,Daily Task Management Mobile App,India,Bengaluru,Google,Private Equity,"1,23,00,000",no Remark
05-12-2017,HandyTrain,SaaS & Enterprise Tech,Mobile Learning Management Platform,India,Goa,NB Ventures,Private Equity,"10,00,000",no Remark
05-12-2017,Mobycy,SaaS & Enterprise Tech,Bicycle sharing Platform,India,Gurugram,Undisclosed,Seed Funding,"5,00,000",no Remark
05-12-2017,Tata Housing,Real Estate,Residential Project,India,Mumbai,Hines,Private Equity,"2,30,00,000",no Remark
01-12-2017,Strata Enviro,SaaS & Enterprise Tech,IoT based air pollution controller,India,Mumbai,Scale Minds,Private Equity,,no Remark
28-11-2017,Chumbak,Consumer Internet,Designer-led consumer products,India,Bengaluru,Gaja Capital,Private Equity,"1,30,00,000",no Remark
28-11-2017,FR8,SaaS & Enterprise Tech,Online Truck aggregator platform,India,Chennai,IFMR Capital,Debt Funding,"15,00,000",no Remark
28-11-2017,MobieFit,HealthTech,Health and fitness based mobile App,India,Goa,"NB Ventures, MediAssist",Seed Funding,"13,50,000",no Remark
28-11-2017,Stanza Living,SaaS & Enterprise Tech,Student accommodation platform,India,New Delhi,"Matrix PArtners, Accel",Private Equity,"20,00,000",no Remark
27-11-2017,Edelweiss,FinTech,Diversified Financial,India,Mumbai,Undisclosed,Private Equity,"27,00,00,000",no Remark
27-11-2017,ERA,SaaS & Enterprise Tech,Identity management platform,India,Mumbai,Amit Patni,Seed Funding,"39,000",no Remark
27-11-2017,Smaaash,SaaS & Enterprise Tech,Virtual Reality based gaming platform,India,Mumbai,Sixth Sense Ventures,Private Equity,"38,00,000",no Remark
24-11-2017,IDG Ventures,FinTech,Venture Capitalist,India,Bengaluru,Uniliver Ventures,Private Equity,"1,00,00,000",no Remark
24-11-2017,TempGo,SaaS & Enterprise Tech,IoT and SaaS based transportation platform,India,Goa,Javelin StartupO Victory Fund,Seed Funding,"2,50,000",no Remark
23-11-2017,WittyFeed,Media & Entertainment,Viral Content and storytelling platform,India,Indore,Sandeep Aggarwal,Seed Funding,,no Remark
22-11-2017,MiStay,SaaS & Enterprise Tech,Online Hotel Reservation Platform,India,Bengaluru,Axilor Ventures,Seed Funding,,no Remark
21-11-2017,Credit Mate,SaaS & Enterprise Tech,Vehicle loan approval platform,India,Mumbai,Paytm,Private Equity,,no Remark
21-11-2017,Epiq Capital,FinTech,Tech based investor firm,India,Mumbai,Global Institutional Investors,Private Equity,"20,00,00,000",no Remark
21-11-2017,Heckyl,SaaS & Enterprise Tech,Big Data Analytics Platform,India,Mumbai,"Notion Capital, IDG Ventures",Private Equity,"27,00,000",no Remark
21-11-2017,Nuvepro,SaaS & Enterprise Tech,Managed Cloud Environment Solutions,India,Mumbai,1Crowd,Seed Funding,"4,00,000",no Remark
21-11-2017,Portea,HealthTech,Healthcare facilities at doorstep,India,Bengaluru,"Sabre Partners, MEMG CDC",Private Equity,"2,60,00,000",no Remark
