date,startup_name,industry_vertical,subvertical,country,city /state location,investors_name,investment_type,amount_in_usd,year,month
2017-10-04,CollPoll,Consumer Internet,Education collaboration platform,India,Bengaluru,Sprout Angels,Seed Funding,306000,2017,October
2017-10-04,Elanic,Consumer Internet,P2P platform for Fashion sales,India,Bengaluru,Digital Garage,Seed Funding,,2017,October
2017-10-04,PhonePe,Consumer Internet,Digital Wallet,India,Bengaluru,Flipkart,Private Equity,38700000,2017,October
2017-10-03,ChqBook,Consumer Internet,Home Loans Aggregation platform,India,Gurugram,"Startup Buddy, Apurva Chamaria,Sachin Arora, Bharat Gupta, Amit Manocha",Seed Funding,,2017,October
2017-10-03,HomeCapital,Consumer Internet,Home Loan Down payment assistance program,India,Mumbai,Venture Catalysts,Seed Funding,,2017,October
2017-10-03,Ola Cabs,Consumer Internet,App based cab hailing services,India,Bengaluru,"Tencent, Softbank Group",Private Equity,110000000,2017,October
2017-09-28,Aadyah,SaaS & Enterprise Tech,Defense Tech & Aerospace startup,India,Bengaluru,Keiretsu Forum,Private Equity,1000000,2017,September
2017-09-27,Fashalot,Consumer Internet,O2O fashion discovery platform,India,Gurugram,"Capillary Technologies, Whiteboard Capital, YourNest Angel Fund, Rajul Garg",Private Equity,,2017,September
2017-09-27,GoChoppers,Consumer Internet,Luxury Helicopter Tourism Services portal,India,Gurugram,"Rivergate Capital,",Seed Funding,,2017,September
2017-09-27,MyUpchar,Consumer Internet,Local Language Health Information portal,India,New Delhi,LetsVenture,Seed Funding,300000,2017,September
2017-09-27,Pitstop,Consumer Internet,Car repair and Servicing Platform,India,Bengaluru,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg",Private Equity,1000000,2017,September
2017-09-27,Transerve,SaaS & Enterprise Tech,Geospatial Technology-based SaaS solutions,India,Mumbai,"IL&FS Investment Managers, Omidyar Network.",Private Equity,1600000,2017,September
2017-09-26,Credifiable,Consumer Internet,Online consumer lending platform,India,Bengaluru,Kae Capital,Private Equity,,2017,September
2017-09-26,Inclov,Consumer Internet,Matchmaking app for the differently abled,India,Gurugram,"Rajan Anandan, Jamil Khatri, Ravi Iyer, Raghav Bahl",Seed Funding,,2017,September
2017-09-26,Multibhashi,Consumer Internet,Language learning Mobile App,India,Bengaluru,"Aniruddha Malpani, Startup Oasis",Seed Funding,,2017,September
2017-09-25,Cropin,SaaS & Enterprise Tech,Crop Technology Solutions,India,Bengaluru,Beenext,Private Equity,,2017,September
2017-09-25,Rapido,Consumer Internet,Bike Aggregator Mobile App,India,Bengaluru,Battery Road Digital Holdings LLC,Seed Funding,422000,2017,September
2017-09-25,Sportobuddy,Consumer Internet,Sports & Sport related equipment portal,India,Mumbai,Mehul Shah,Seed Funding,150000,2017,September
2017-09-25,Synup,SaaS & Enterprise Tech,SME Marketing Management Solution,India,Bengaluru,"Vertex Ventures, Prime Venture Partners.",Private Equity,6000000,2017,September
2017-09-25,Tinmen,Consumer Internet,Food Delivery platform,India,Hyderabad,Zomato Media Pvt. Ltd,Private Equity,,2017,September
2017-09-25,Vogo,Consumer Internet,Scooter Rental Platform,India,Bengaluru,AV Thomas Group,Seed Funding,,2017,September
2017-09-22,Ace Turtle,SaaS & Enterprise Tech,Omni-channel web commerce solutions provider,India,Bengaluru,InnoVen Capital,Private Equity,,2017,September
2017-09-22,Yatra.com,E-Commerce,Online Travel Agency,India,Gurugram,InnoVen Capital India,Debt Funding,15400000,2017,September
2017-09-21,91SpringBoard,Consumer Internet,Co-working spaces,India,New Delhi,"Sandway Investment Ltd, Pearl Brook Holdings, Silo Holdings and Al Nour",Private Equity,,2017,September
2017-09-21,Gaming Monk,Consumer Internet,E-sports platform,India,New Delhi,AdvantEdge,Private Equity,,2017,September
2017-09-21,Homergize,E-Commerce,Home Furnishing & Building material marketplace,India,Bengaluru,LG Chandrasekhar,Private Equity,1000000,2017,September
2017-09-21,SaveBC,FinTech,financial services firm,India,Gaya,Incofin Investment Management.,Private Equity,6000000,2017,September
2017-09-20,HWell24 Plus,HealthTech,Technology-Empowered Healthcare Solutions,India,Mumbai,Undisclosed,Seed Funding,,2017,September
2017-09-19,High Radius,SaaS & Enterprise Tech,Integrated receivables software solutions,India,Hyderabad,Susquehanna Growth Equity LLC,Private Equity,50000000,2017,September
2017-09-19,Noticeboard,SaaS & Enterprise Tech,"mobile-first communication platform for on-field staff,",India,Bengaluru,"Shamik Sharma, Aprameya Radhakrishna",Seed Funding,,2017,September
2017-09-18,The Moms Co,E-Commerce,Pregnancy & Baby Care product etailer,India,Gurugram,"DSG Consumer Partners, Saama Capital",Private Equity,1000000,2017,September
2017-09-14,Gurukul,Consumer Internet,co-working space provider,India,New Delhi,"Rohit Nanda, Rajit Nanda, Smarak Bhuyan, Sashwat Brahma,",Seed Funding,,2017,September
2017-09-14,Smaaash,SaaS & Enterprise Tech,Virtual Reality gaming and entertainment platform,India,Mumbai,ECL Finance,Private Equity,44000000,2017,September
2017-09-14,WheelStreet,Consumer Internet,Bike Rental Platform,India,Bengaluru,Y Combinator,Seed Funding,120000,2017,September
2017-09-14,Xprep,Consumer Internet,Online Tutoring Platform,India,New Delhi,"Rising Stars, Manish Amin, Pallav Pandey, Chavi Jafa",Private Equity,,2017,September
2017-09-13,GlowRoad,Consumer Internet,women focussed customer-to-customer reseller network,India,Bengaluru,"Accel Partners,",Private Equity,2000000,2017,September
2017-09-13,Heterogenous,SaaS & Enterprise Tech,Telecom & IoT platform,India,Chennai,"Chennai Angels, Keiretsu Forum & Others",Seed Funding,780000,2017,September
2017-09-13,OYO Rooms,Consumer Internet,udget hotel marketplace,India,Gurugram,China Lodging Group,Private Equity,10000000,2017,September
2017-09-13,Unacademy,Consumer Internet,Online learning platform,India,Mumbai,"Sequoia Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,",Private Equity,11500000,2017,September
2017-09-13,WittyFeed,SaaS & Enterprise Tech,Content marketing platform,India,Indore,"Anand Chandrasekaran, Apurva Chamaria, Ritesh Malik, Ashish Toshniwal, Ajeet Khurana",Seed Funding,,2017,September
2017-09-12,3HCare,Consumer Internet,Healthcare services portal,India,New Delhi,Undisclosed,Seed Funding,100000,2017,September
2017-09-12,Get My Parking,Consumer Internet,Smart Parking Enabler,India,New Delhi,"IAN Fund, Beenext, Indian Angel Network",Private Equity,3000000,2017,September
2017-09-12,Sattviko,E-Commerce,Health Food etailer,India,New Delhi,"Raman Roy, Arvind Uppal, Sonu Bhasin, G Ravishankar",Seed Funding,,2017,September
2017-09-12,Tonbo Imaging,SaaS & Enterprise Tech,Imaging Technology for Armed Forces,India,Bengaluru,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",Private Equity,17000000,2017,September
2017-09-11,Call Health,Consumer Internet,Healthcare Services Aggregator,India,Hyderabad,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand",Private Equity,6200000,2017,September
2017-09-11,Ecom Express,Logistics,Logistics Solutions provider,India,New Delhi,Warburg Pincus,Private Equity,30000000,2017,September
2017-09-08,Aye Finance,Consumer Internet,Micro Lending Platform,India,New Delhi,"Triodos Investment Management,",Debt Funding,6900000,2017,September
2017-09-08,Farmizen,SaaS & Enterprise Tech,Agre-Tech Mobile app,India,Bengaluru,"Venture Highway, Alok Mittal, Mohit Agarwal, Anuj Gupta,",Seed Funding,,2017,September
2017-09-07,Credit Vidya,Consumer Internet,Online Credit scoring platform,India,Mumbai,Matrix Partners,Private Equity,5000000,2017,September
2017-09-07,Early Salary,Consumer Internet,Online Unsecured Lending platform,India,Pune,IFMR Capital,Debt Funding,780000,2017,September
2017-09-07,MamaEarth,E-Commerce,online babycare products marketplace,India,Gurugram,Fireside Ventures,Seed Funding,,2017,September
2017-09-07,OYO Rooms,Consumer Internet,Branded budget hotels marketplace,India,Gurugram,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",Private Equity,250000000,2017,September
2017-09-07,Seniority,E-Commerce,Ecommerce portal for senior citizens,India,Pune,RPG Enterprises,Private Equity,1000000,2017,September
2017-09-07,Tails Life,Consumer Internet,Pet care portal & mobile app,India,Bengaluru,V Balakrishnan.,Private Equity,,2017,September
2017-09-06,GoFro,Consumer Internet,Online travel booking platform,India,New Delhi,"HIS Co. Ltd, MakeMyTrip",Private Equity,10000000,2017,September
2017-09-06,Lending Kart,Consumer Internet,Online Lending Platform,India,Ahmedabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",Private Equity,10750000,2017,September
2017-09-06,OncoStem,HealthTech,Medical Diagnostic Solutions,India,Bengaluru,"Sequoia Capital India, Artiman Ventures",Private Equity,6000000,2017,September
2017-09-06,Power2SME,E-Commerce,Buying Club for Small Businesses,India,Gurugram,"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani,",Private Equity,26000000,2017,September
2017-09-05,Nest Education,SaaS & Enterprise Tech,EduTech Platform,India,Gurugram,"Michael and Susan Dell Foundation, Anand Mahindra",Seed Funding,600000,2017,September
2017-09-05,Shubh Loans,Consumer Internet,online lending platform,India,Bengaluru,"SRI Capital, BeeNext, Pravega Ventures",Private Equity,1500000,2017,September
2017-09-04,PrimaryIO,SaaS & Enterprise Tech,Application Performance Acceleration,India,Pune,"Accel Partners, Exfinity Ventures, Partech Ventures",Private Equity,5600000,2017,September
2017-09-01,Aahaa Stores,E-Commerce,Online B2B store for office supplies,India,Chennai,YourNest Angel Fund,Private Equity,1000000,2017,September
2017-09-01,Canvera,Consumer Internet,Online Photography platform,India,Mumbai,InfoEdge,Private Equity,1300000,2017,September
2017-09-01,mfine,Consumer Internet,Online Doctor Discovery platform,India,Bengaluru,"Stellaris Venture Partners, Mayur Abhaya, Rohit MA",Private Equity,1500000,2017,September
2017-08-30,MedGenome,SaaS & Enterprise Tech,Genomics Research and Diagnostics Solutions,India,Bengaluru,"Sequoia India, Sofina s.a., Zodius Capital, Kris Gopalakrishnan, Lakshmi Narayanan,",Private Equity,30000000,2017,August
2017-08-30,Treebo,Consumer Internet,Budget Hotel Aggregator platform,India,Bengaluru,"Ward Ferry Management and Karst Peak Capital,",Private Equity,34000000,2017,August
2017-08-29,CureFit,Consumer Internet,End to End health and wellness platform.,India,Bengaluru,"Accel Partners, IDG Ventures, Kalaari Capital,\\xc2\\xa0 UC-RNT fund",Private Equity,25000000,2017,August
2017-08-29,Doxper,SaaS & Enterprise Tech,Healthtech IoT platform,India,Mumbai,"idal Health, growx ventures, Capier Investments, Globevestor & others",Seed Funding,750000,2017,August
2017-08-29,Fieldassist,SaaS & Enterprise Tech,SAAS based sales force automation services,India,Gurugram,Small Industries Development Bank of India (SIDBI),Debt Funding,,2017,August
2017-08-28,Mobikon,SaaS & Enterprise Tech,Restaurant & Hotel CRM platform,India,Pune,"Sistema Asia Fund, C31 Ventures, Qualgro.",Private Equity,7000000,2017,August
2017-08-25,Ink Monk,Consumer Internet,Online printing marketplace,India,Chennai,"VAMM Ventures, Raksul, Dena",Seed Funding,750000,2017,August
2017-08-25,Medinfi,Consumer Internet,Online Doctor Discovery Platform,India,Bengaluru,"PBS Srinivas, Vinod Martin,",Seed Funding,125000,2017,August
2017-08-24,Ezetap,SaaS & Enterprise Tech,mPOS solutions provider,India,Bengaluru,"JS Capital Management, Social Capital, Horizons Ventures,",Private Equity,16000000,2017,August
2017-08-23,Awign,SaaS & Enterprise Tech,Operations and manpower outsourcing,India,Bengaluru,"IIT Ropar, Imanpreet Singh Arora, Sidharth Rozario, Saurabh Abichandani, Shikhar Gupta,",Seed Funding,,2017,August
2017-08-23,Bombay Shaving Company,E-Commerce,Men Grooming product etailer,India,New Delhi,Fireside Ventures,Private Equity,2300000,2017,August
2017-08-23,Dhruva,SaaS & Enterprise Tech,Cloud data protection and management solutions,India,Pune,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital",Private Equity,80000000,2017,August
2017-08-23,Indiez,SaaS & Enterprise Tech,Software & Mobile app development platform,India,Bengaluru,Haresh Chawla,Seed Funding,500000,2017,August
2017-08-23,Milk Basket,Consumer Internet,Online Grocery platform,India,Gurugram,Blume Ventures. Lenovo Capital and Incubator Group (LCIG),Seed Funding,,2017,August
2017-08-22,EasyGov,Consumer Internet,Govt service application portal,India,Noida,"Social Alpha, Rajan Anandan, Rajeev Ahuja, Kshitij Arora",Seed Funding,,2017,August
2017-08-22,Flochat,Consumer Internet,instant messaging platform,India,Mumbai,"iSquare Global,",Seed Funding,,2017,August
2017-08-21,Cerebroz,Consumer Internet,E-Tech platform,India,Vadodara,Undisclosed,Seed Funding,734000,2017,August
2017-08-21,Uniphore,SaaS & Enterprise Tech,speech recognition startup,India,Chennai,IDG Ventures,Private Equity,6800000,2017,August
2017-08-20,Rootefy,E-Commerce,Building material online store,India,New Delhi,"Abhinav Gupta,",Seed Funding,187000,2017,August
2017-08-17,Get Simpl,Consumer Internet,Payment Solution Mobile app,India,Mumbai,"Green Visor Capital LP II, IA Venture Strategies Fund II LP, Boillot Family Trust, Russell M Byrne, The Oliver R. Grace, Jr. Millennium Trust, SF Capital Investments LP",Seed Funding,,2017,August
2017-08-15,KNAB Finance,Consumer Internet,Unsecured Small Business Loans,India,Bengaluru,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj",Seed Funding,385000,2017,August
2017-08-14,Digilend,SaaS & Enterprise Tech,Personal Loans & EMI solutions platform,India,Mumbai,"InCred Finance, Fullerton India Credit Company Ltd",Seed Funding,312000,2017,August
2017-08-14,Sports Flashes,Consumer Internet,Sports Content Mobile App,India,New Delhi,"Bennett, Coleman and Company Ltd (BCCL),",Private Equity,,2017,August
2017-08-11,Flipkart,E-Commerce,Online Marketplace,India,Bengaluru,Softbank,Private Equity,2500000000,2017,August
2017-08-11,Moong Labs,SaaS & Enterprise Tech,Mobile games developer,India,New Delhi,Nazara Games,Private Equity,,2017,August
2017-08-11,Ola Cabs,Consumer Internet,App based cab aggregation Service,India,Gurugram,Tekne Capital Management,Private Equity,36000000,2017,August
2017-08-10,Stayabode,Consumer Internet,Co-Living space aggregator,India,Bengaluru,"Incubate Fund, Sanjay Shenoy, Mridul Upreti,",Private Equity,,2017,August
2017-08-09,CroFarm,SaaS & Enterprise Tech,Agriculture Supply Chain solutions,India,Gurugram,Factor[e] Ventures,Seed Funding,783000,2017,August
2017-08-09,DoodhWala,Consumer Internet,Online milk delivery,India,Bengaluru,Tom Varkey,Seed Funding,,2017,August
2017-08-09,TruxApp,Logistics,Mobile based Logistics Service,India,New Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others",Seed Funding,3100000,2017,August
2017-08-08,My Forex Eye,Consumer Internet,foreign exchange services,India,New Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others",Seed Funding,220000,2017,August
2017-08-08,New Castle Technologies,SaaS & Enterprise Tech,Hospital Management Software,India,Chennai,Undisclosed,Seed Funding,243000,2017,August
2017-08-05,Curatio,HealthTech,Skincare Speciality services,India,Chennai,Anicut Capital,Private Equity,,2017,August
2017-08-04,Box My Space,Logistics,Warehouse Aggregator,India,Mumbai,"R. Jayakumar, Vaibhav Vohra, Aditya Vazirani, Rhea Vazirani, AVN Business Solutions, Dreamweaver Investments",Seed Funding,,2017,August
2017-08-04,CoutLoot,E-Commerce,Fashion Resale Marketplace,India,Mumbai,"Anuj Puri, Redcliffe Capital, Artha India Ventures, Siddharth Kothari, Apoorv Ranjan Sharma,",Seed Funding,,2017,August
2017-08-04,Lime Tray,SaaS & Enterprise Tech,Restaurant Management Solutions,India,New Delhi,JSW Ventures,Private Equity,,2017,August
2017-08-03,Chai Point,Consumer Internet,Tea Delivery Portal & offline stores,India,Bengaluru,"DSG Consumer Partners, Eight Roads Ventures India",Private Equity,,2017,August
2017-08-03,Skill Connect,Consumer Internet,Recruitment Portal,India,Jaipur,Rajasthan Angel Investor Network,Seed Funding,,2017,August
2017-08-03,SpeedBox,Logistics,On-Demand Logistics Service provider,India,Mumbai,Cismat Cargo Services Pvt. Ltd.,Seed Funding,300000,2017,August
2017-08-03,Zoctr,Consumer Internet,Health Products & Services Aggregator,India,Mumbai,SIDBI,Private Equity,,2017,August
2017-08-02,Click2Clinic,Consumer Internet,healthcare service aggregator,India,Hyderabad,"Narottam Thudi, Shireesh Palle",Seed Funding,850000,2017,August
2017-08-02,Ethinos,SaaS & Enterprise Tech,Digital Marketing Agency,India,Mumbai,Triton Investment Advisors,Private Equity,,2017,August
2017-08-02,Leverage Edu,Consumer Internet,Online platform for Higher Education Services,India,New Delhi,"Kashyap Deorah, Anand Sankeshwar, Deepak Jain, Sadashiva NT, Arjun Mehta, Satish Kaul, Anindya Ghose",Seed Funding,,2017,August
2017-08-02,Zepo,Consumer Internet,DIY Ecommerce platform,India,Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed Funding,500000,2017,August
2017-08-01,TouchKin,SaaS & Enterprise Tech,Predictive Care Platform,India,Bengaluru,Kae Capital,Private Equity,1300000,2017,August
2017-07-28,BigStylist,Consumer Internet,Beauty Services Marketplace,India,Mumbai,Info Edge (India) Ltd,Private Equity,1250000,2017,July
2017-07-28,Gympik.com,Consumer Internet,online marketplace for discovering fitness centres,India,Bengaluru,RoundGlass Partners,Seed Funding,,2017,July
2017-07-28,Jhakaas,Consumer Internet,App-based Aggregator of Offline Businesses,India,Mumbai,Amen Dhyllon,Seed Funding,,2017,July
2017-07-27,1mg,E-Commerce,Online Pharmacy,India,Gurugram,"HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital",Private Equity,15000000,2017,July
2017-07-26,Creator Gurukul,Consumer Internet,Co-Working Space Provider,India,New Delhi,Yuvraj Singh,Seed Funding,,2017,July
2017-07-26,Fab Hotels,Consumer Internet,Budget hotels brand & Aggregator Platform,India,New Delhi,Goldman Sachs,Private Equity,25000000,2017,July
2017-07-26,ThinkerBell,Consumer Internet,Assisted Learning Startup,India,Bengaluru,"Indian Angel Network, Anand Mahindra",Seed Funding,200000,2017,July
2017-07-25,Byjus,Consumer Internet,Mobile Learning App,India,Bengaluru,Tencent Holdings,Private Equity,35000000,2017,July
2017-07-25,Noticeboard,Consumer Internet,Mobile-first Enterprise communication platform,India,Bengaluru,"Stellaris Venture Partners,",Private Equity,1200000,2017,July
2017-07-21,Brick2Wall,E-Commerce,Online Marketplace for Construction Material,India,Gurugram,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",Seed Funding,200000,2017,July
2017-07-21,FableStreet,E-Commerce,Women Work wear etailer,India,New Delhi,"Harmeet Bajaj, Pameela P, Fusiontech Ventures & Others",Seed Funding,,2017,July
2017-07-21,MonkeyBox,Consumer Internet,Healthy Food Delivery Platform,India,Bengaluru,"Blume Ventures, NB Ventures, Nspira",Seed Funding,,2017,July
2017-07-21,Monsoon Fintech,SaaS & Enterprise Tech,Machine Learning Access platform,India,New Delhi,"Sunil Kalra, Aditya Singh, Rishi Srivastava, Rajan Anandan",Seed Funding,,2017,July
2017-07-20,Trupay,SaaS & Enterprise Tech,Online payments platform,India,Gurugram,"Kae Capital, M&S Partners,",Seed Funding,700000,2017,July
2017-07-19,AirCTO,Consumer Internet,AI powered recruitment platform,India,Bengaluru,Francesco Cara,Seed Funding,,2017,July
2017-07-19,Playablo,SaaS & Enterprise Tech,Gamified Learning App,India,Bengaluru,ABI-Showatech (India) Ltd,Seed Funding,600000,2017,July
2017-07-19,Rentomojo,Consumer Internet,Consumer Leasing Platform,India,Bengaluru,"ain Capital Ventures, Renaud Laplanche",Private Equity,10000000,2017,July
2017-07-18,Ambee,Consumer Internet,Ambulance Aggregation Services,India,Hyderabad,"Uber Technologies Inc, Amaya Capital LLP",Seed Funding,,2017,July
2017-07-18,Hypernova Interactive,SaaS & Enterprise Tech,Mobile games creator,India,Bengaluru,Kae Capital,Seed Funding,,2017,July
2017-07-18,Ideal Insurance,Consumer Internet,Online Insurance platform,India,Kolkata,Xelpmoc,Seed Funding,,2017,July
2017-07-18,MObiquest,SaaS & Enterprise Tech,Mobile Services & Solutions,India,Noida,One97 Communication Ltd,Private Equity,,2017,July
2017-07-17,Increff,SaaS & Enterprise Tech,Sales Solutions for Fashion Brands,India,Bengaluru,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Seed Funding,2000000,2017,July
2017-07-17,Vayana,SaaS & Enterprise Tech,Enterprise Banking Solutions,India,Pune,"IDG Ventures India Advisors, Jungle Ventures",Private Equity,4000000,2017,July
2017-07-14,Chumbak,E-Commerce,Designer consumer products Marketplace,India,Bengaluru,Blacksoil Capital Pvt. Ltd,Private Equity,1700000,2017,July
2017-07-14,QwikSpec,SaaS & Enterprise Tech,Construction site operations and analytics platform,India,Bengaluru,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed Funding,540000,2017,July
2017-07-12,Arcatron,SaaS & Enterprise Tech,Next Gen Mobility device manufacturer,India,Pune,Indian Angel Network,Seed Funding,,2017,July
2017-07-12,Bottr.me,SaaS & Enterprise Tech,Chatbot creation tool,India,Bengaluru,"500 Startups, Purvi Capital, Rajan Anandan, Abhishek Gupta",Seed Funding,,2017,July
2017-07-12,Innoviti,SaaS & Enterprise Tech,Digital payments solutions,India,Bengaluru,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,18500000,2017,July
2017-07-12,VDeliver,Logistics,Door Step Delivery platform,India,Hyderabad,"Corvus Ventures, MAPE Advisory Group",Private Equity,,2017,July
2017-07-11,Design Cafe,Consumer Internet,Online Interior Design platform,India,Bengaluru,"Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital",Seed Funding,,2017,July
2017-07-11,Fabogo,Consumer Internet,Salon & Spa Aggregation & Discovery platform,India,Pune,Dunamis Ventures Pte Ltd,Private Equity,2250000,2017,July
2017-07-11,Flickstree,Consumer Internet,Video Content Discovery Platform,India,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed Funding,464000,2017,July
2017-07-10,Autorox.co,SaaS & Enterprise Tech,Workshop Management Software Platform,India,Hyderabad,Mitsui & Co.,Private Equity,3000000,2017,July
2017-07-07,Clip App,Consumer Internet,Digital Media Video platform,India,Bengaluru,"India Quotient, Shunwei Capital",Seed Funding,1000000,2017,July
2017-07-07,Upwardly.in,Consumer Internet,MF investment platform,India,Bengaluru,"Sreeram Iyer, Suvo Sarkar, Anita Gupta, Likemind Ventures",Seed Funding,,2017,July
2017-07-06,Minjar,SaaS & Enterprise Tech,Cloud Solutions provider,India,Bengaluru,"Blume Ventures, Contrarian Capital India Partners, Emergent Ventures India, Pallav Nadhani, Ashish Gupta, Sharad Sharma, Sirion Labs",Seed Funding,,2017,July
2017-07-06,MyCity4kids,Consumer Internet,Parenting blog and kids events discovery platform,India,Gurugram,Undisclosed,Seed Funding,,2017,July
2017-07-05,Jumbotail,E-Commerce,online marketplace for food and grocery,India,Bengaluru,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,8500000,2017,July
2017-07-05,Moglix,E-Commerce,B2B marketplace for Industrial products,India,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,12000000,2017,July
2017-07-05,Timesaverz,Consumer Internet,Hyperlocal home services provider,India,Mumbai,BCCL,Private Equity,1000000,2017,July
2017-07-04,Droom,E-Commerce,Online marketplace for automobiles,India,Gurugram,"Asset Management (Asia) Ltd, Digital Garage Inc",Private Equity,20000000,2017,July
2017-07-03,Ecolibriumenergy,SaaS & Enterprise Tech,Energy management solutions provider,India,Ahmedabad,"Infuse Ventures, JLL",Private Equity,2600000,2017,July
2017-07-01,Billion Loans,Consumer Internet,Peer to Peer Lending platform,India,Bengaluru,Reliance Corporate Advisory Services Ltd,Seed Funding,1000000,2017,July
2017-06-30,Tagos Design,SaaS & Enterprise Tech,in-video discovery platform,India,Bengaluru,Undisclosed,Private Equity,5000000,2017,June
2017-06-30,UrbanClap,Consumer Internet,Mobile Services Marketplace,India,Gurugram,"Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners",Private Equity,21000000,2017,June
2017-06-29,Fitpass,Consumer Internet,Online Fitness Marketplace,India,New Delhi,"Abhinav Bindra, Gaurav Marya",Private Equity,1000000,2017,June
2017-06-29,ZingHR,SaaS & Enterprise Tech,"digital employee solutions,",India,Mumbai,Zeta,Private Equity,,2017,June
2017-06-28,FiTraQ,Consumer Internet,Fitness Centre Discovery Platform,India,New Delhi,"Aparup Sengupta, Devendra Reddy,",Seed Funding,,2017,June
2017-06-28,Niki.ai,Consumer Internet,AI Based Personal Assistant,India,Bengaluru,"SAP.iO, Unilazer Ventures",Private Equity,2000000,2017,June
2017-06-28,Rubique,Consumer Internet,Online Marketplace for financial products,India,Mumbai,"Kalaari Capital, Udayan Goyal",Private Equity,3000000,2017,June
2017-06-27,Formcept,Consumer Internet,Unified Data Analysis platform,India,Bengaluru,Gujarat Venture Finance Ltd,Private Equity,,2017,June
2017-06-27,Spares Hub,E-Commerce,Automobile parts marketplace,India,Pune,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",Seed Funding,311000,2017,June
2017-06-27,Stashfin,Consumer Internet,Personal Finance App,India,New Delhi,"Snow Leopard Ventures, Alto Partners",Private Equity,5000000,2017,June
2017-06-26,Flipkart,E-Commerce,Online marketplace,India,Bengaluru,Naspers,Private Equity,71000000,2017,June
2017-06-26,HUG Innovations,SaaS & Enterprise Tech,Gesture based Smartwatch manufacturer,India,Hyderabad,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",Private Equity,5000000,2017,June
2017-06-26,V Resorts,Consumer Internet,Holiday & Vacation resort aggregator,India,Noida,"Seedfund, RB International",Private Equity,4000000,2017,June
2017-06-23,Loantap,Consumer Internet,Lending platform for salaried professionals,India,Mumbai,"Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd",Private Equity,4000000,2017,June
2017-06-23,Voxweb,Consumer Internet,Mobile based social networking platform,India,Mumbai,Undisclosed,Seed Funding,1000000,2017,June
2017-06-22,Explore Life traveling,Consumer Internet,Local homes booking platform,India,Bengaluru,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed Funding,500000,2017,June
2017-06-22,Julia Computing,SaaS & Enterprise Tech,Open Source Language for Data Science and Machine Learning,India,Bengaluru,"General Catalyst, Founder Collective",Private Equity,4600000,2017,June
2017-06-22,Kissht,Consumer Internet,Consumer Lending platform,India,Mumbai,"Endiya Partners, Ventureast",Private Equity,2000000,2017,June
2017-06-21,Fabulyst,SaaS & Enterprise Tech,Artificial Intelligence based platform,India,Hyderabad,iBhubs,Seed Funding,215000,2017,June
2017-06-21,Fynd,E-Commerce,Fashion etailer,India,Mumbai,"IIFL Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital",Private Equity,2400000,2017,June
2017-06-21,Grow Fit,Consumer Internet,Health-Tech platform,India,Bengaluru,"Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust",Private Equity,4500000,2017,June
2017-06-21,Mswipe,SaaS & Enterprise Tech,Point-of-Sale services,India,Mumbai,"UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners",Private Equity,31000000,2017,June
2017-06-21,OneAssist,Consumer Internet,Credit card fraud protection,India,Mumbai,Sequoia Capital,Private Equity,,2017,June
