date,startup_name,industry_vertical,subvertical,country,city /state location,investors_name,investment_type,amount_in_usd,year,month
2019-08-19,Mishry Reviews,Consumer Internet,Product Review,India,Gurugram,Vir Sanghvi,Series A,,2019,August
2019-08-13,Cars24,E-Commerce,Car Retail,India,Gurugram,MS Dhoni,Series D,11000000,2019,August
2019-08-13,Uniphore,SaaS & Enterprise Tech,Conversational AI,USA,Palo Alto,March Capital Partners,Series C,51000000,2019,August
2019-08-12,Meesho,E-Commerce,Social Commerce,India,Bengaluru,Naspers,Series D,125000000,2019,August
2019-08-01,Alteria Capital,FinTech,VC Funds,India,Mumbai,"Azim Premji, Binny Bansal",Venture Capital,140000000,2019,August
2019-08-01,CarDekho,E-Commerce,Automotive,India,Gurugram,SC GG India Mobility Holdings LLC,Series C,20000000,2019,August
2019-08-01,MyPetrolPump,E-Commerce,Fuel Delivery,India,Bengaluru,Undisclosed,Seed Funding,1600000,2019,August
2019-08-01,Pine Labs,SaaS & Enterprise Tech,Last-mile retail transaction technology,India,Noida,Pine Labs Pte Ltd,Corporate Round,38080000,2019,August
2019-08-01,Progcap,FinTech,Supply Chain Management,India,New Delhi,Sequoia India,Series A,5000000,2019,August
2019-07-11,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,Unknown,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000,2019,July
2019-07-10,Byjus,EdTech,Education,India,Bengaluru,Qatar Investment Authority,Private Equity ,150000000,2019,July
2019-07-10,Ezyhaul,SaaS & Enterprise Tech,Logistics,Singapore,Unknown,Undisclosed,Series B,16000000,2019,July
2019-07-10,HealthAssure,HealthTech,Primary care medical network,India,Mumbai,Blume Ventures,Series A,2500000,2019,July
2019-07-10,Indus OS,SaaS & Enterprise Tech,Smartphone Operating System,India,Andheri,Ventureast,Series B,5750000,2019,July
2019-07-09,House of Msasaba,E-Commerce,Clothes and Apparel,India,Mumbai,Binny Bansal,Series A,1000000,2019,July
2019-07-08,Board Infinity,EdTech,Full-stack career platform,India,Mumbai,Multiple Angel Investors,Angel Funding,319605,2019,July
2019-07-04,Daalchini Technologies,FoodTech,Digital Vending Machine,India,New Delhi,Artha Venture,Seed Funding,500000,2019,July
2019-07-03,Ola Cabs,Transport,Cabs,India,Bengaluru,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,1000000,2019,July
2019-07-02,Atlan,SaaS & Enterprise Tech,Big Data,Singapore,Unknown,WaterBridge Ventures,Pre Series A,2500000,2019,July
2019-07-02,RenewBuy,FinTech,Auto Insurance,India,Gurugram,"Lok Capital, IIFL Wealth",Series B,19000000,2019,July
2019-07-01,Uniphore,SaaS & Enterprise Tech,Speech Recognition,India,Taramani,March Capital Partners,Series C,38080000,2019,July
2019-07-01,WizCounsel,SaaS & Enterprise Tech,Consulting,India,New Delhi,Kapil Dev,Angel Funding,145000,2019,July
2019-06-10,Bolo App,Media & Entertainment,Video Platform,India,Bengaluru,Nexus Venture Partners,Seed Funding,430200,2019,June
